type,AveragePrice_count,AveragePrice_mean,AveragePrice_median,AveragePrice_min,AveragePrice_max,AveragePrice_std,Total Volume_count,Total Volume_mean,Total Volume_median,Total Volume_min,Total Volume_max,Total Volume_std,4046_count,4046_mean,4046_median,4046_min,4046_max,4046_std,4225_count,4225_mean,4225_median,4225_min,4225_max,4225_std,4770_count,4770_mean,4770_median,4770_min,4770_max,4770_std,Total Bags_count,Total Bags_mean,Total Bags_median,Total Bags_min,Total Bags_max,Total Bags_std,Small Bags_count,Small Bags_mean,Small Bags_median,Small Bags_min,Small Bags_max,Small Bags_std,Large Bags_count,Large Bags_mean,Large Bags_median,Large Bags_min,Large Bags_max,Large Bags_std,XLarge Bags_count,XLarge Bags_mean,XLarge Bags_median,XLarge Bags_min,XLarge Bags_max,XLarge Bags_std,year_count,year_mean,year_median,year_min,year_max,year_std
conventional,175,1.3197714285714286,1.33,0.85,1.78,0.19288181804075283,175,70885.67062857143,64336.75,33699.68,149038.15,26182.6436948728,175,4640.495314285715,1088.38,509.94,69032.32,11709.24549933777,175,51463.60885714286,44638.81,19621.76,139735.9,25149.49615333589,175,103.00634285714285,57.94,1.0,1027.97,145.37888430009886,175,14678.5544,13192.69,5802.41,26446.92,5618.04128768649,175,13902.2332,12606.67,2148.2,24051.92,5633.446072709126,175,776.3269142857142,333.16,0.0,5186.39,1198.6764358124476,175,0.0,0.0,0.0,0.0,0.0,175,2015.6571428571428,2015.0,2015,2017,0.7857516038310661
organic,6550,1.675607633587786,1.66,0.72,2.49,0.3057032902958566,6550,11527.253951145038,7512.395,84.56,196031.9,14197.569708881632,6550,2363.1184259541983,459.63,0.0,142332.45,6596.147450342487,6550,4351.623656488549,1732.145,0.0,135705.27,8296.967104592431,6550,61.72162595419848,0.0,0.0,1123.58,177.2667329183328,6550,4750.151952671756,3032.105,0.0,27784.67,4945.562810982257,6550,4026.517841221374,1964.3249999999998,0.0,24150.68,4871.893007292166,6550,723.6341114503816,98.46,0.0,5262.24,1140.6033685284672,6550,0.0,0.0,0.0,0.0,0.0,6550,2016.0398473282444,2016.0,2015,2018,0.9484015731468682
